Id,Label
1,sapo
2,sapo
3,navio
4,navio
5,caminhao
6,automovel
7,gato
8,veado
9,aviao
10,caminhao
11,sapo
12,cavalo
13,cavalo
14,sapo
15,veado
16,passaro
17,cachorro
18,navio
19,veado
20,cachorro
21,passaro
22,gato
23,sapo
24,gato
25,caminhao
26,veado
27,navio
28,veado
29,gato
30,navio
31,navio
32,gato
33,aviao
34,caminhao
35,caminhao
36,aviao
37,sapo
38,cachorro
39,gato
40,passaro
41,automovel
42,aviao
43,sapo
44,navio
45,gato
46,passaro
47,sapo
48,veado
49,veado
50,navio
51,cavalo
52,cavalo
53,passaro
54,veado
55,caminhao
56,cavalo
57,passaro
58,caminhao
59,veado
60,gato
61,caminhao
62,automovel
63,navio
64,aviao
65,caminhao
66,caminhao
67,caminhao
68,sapo
69,aviao
70,cavalo
71,passaro
72,aviao
73,sapo
74,caminhao
75,aviao
76,aviao
77,cavalo
78,navio
79,cavalo
80,navio
81,caminhao
82,automovel
83,navio
84,passaro
85,navio
86,cachorro
87,cachorro
88,navio
89,caminhao
90,passaro
91,automovel
92,aviao
93,gato
94,automovel
95,gato
96,automovel
97,sapo
98,veado
99,navio
100,veado
101,navio
102,cavalo
103,navio
104,sapo
105,aviao
106,cachorro
107,caminhao
108,veado
109,gato
110,cavalo
111,caminhao
112,cachorro
113,aviao
114,aviao
115,cachorro
116,cavalo
117,cavalo
118,passaro
119,aviao
120,cavalo
121,veado
122,sapo
123,sapo
124,gato
125,veado
126,passaro
127,caminhao
128,cavalo
129,aviao
130,gato
131,navio
132,sapo
133,veado
134,gato
135,automovel
136,cachorro
137,automovel
138,automovel
139,navio
140,sapo
141,passaro
142,navio
143,veado
144,caminhao
145,navio
146,cavalo
147,passaro
148,cachorro
149,cachorro
150,cavalo
151,cachorro
152,gato
153,aviao
154,passaro
155,caminhao
156,veado
157,aviao
158,gato
159,navio
160,cavalo
161,sapo
162,automovel
163,aviao
164,veado
165,automovel
166,caminhao
167,aviao
168,veado
169,caminhao
170,sapo
171,cachorro
172,passaro
173,passaro
174,automovel
175,automovel
176,veado
177,cachorro
178,gato
179,sapo
180,cavalo
181,cavalo
182,automovel
183,sapo
184,cavalo
185,automovel
186,automovel
187,gato
188,passaro
189,caminhao
190,aviao
191,veado
192,gato
193,caminhao
194,caminhao
195,veado
196,aviao
197,aviao
198,aviao
199,cavalo
200,caminhao
201,cachorro
202,automovel
203,sapo
204,navio
205,sapo
206,gato
207,navio
208,caminhao
209,aviao
210,navio
211,automovel
212,gato
213,passaro
214,caminhao
215,caminhao
216,gato
217,cachorro
218,navio
219,gato
220,passaro
221,passaro
222,aviao
223,cavalo
224,gato
225,aviao
226,automovel
227,automovel
228,gato
229,cavalo
230,gato
231,gato
232,cavalo
233,navio
234,aviao
235,automovel
236,aviao
237,caminhao
238,gato
239,automovel
240,aviao
241,caminhao
242,gato
243,veado
244,caminhao
245,cavalo
246,passaro
247,aviao
248,cavalo
249,cavalo
250,veado
251,passaro
252,gato
253,veado
254,caminhao
255,navio
256,caminhao
257,cavalo
258,caminhao
259,cachorro
260,gato
261,cavalo
262,sapo
263,aviao
264,veado
265,sapo
266,automovel
267,automovel
268,aviao
269,automovel
270,veado
271,caminhao
272,cavalo
273,automovel
274,sapo
275,cavalo
276,aviao
277,gato
278,veado
279,cavalo
280,sapo
281,cachorro
282,automovel
283,gato
284,cachorro
285,caminhao
286,passaro
287,cavalo
288,cachorro
289,sapo
290,passaro
291,sapo
292,gato
293,gato
294,navio
295,sapo
296,cavalo
297,passaro
298,automovel
299,automovel
300,cachorro
301,aviao
302,veado
303,navio
304,veado
305,automovel
306,veado
307,gato
308,caminhao
309,sapo
310,sapo
311,passaro
312,caminhao
313,aviao
314,cavalo
315,navio
316,cachorro
317,sapo
318,automovel
319,passaro
320,caminhao
321,automovel
322,veado
323,veado
324,cavalo
325,passaro
326,sapo
327,cavalo
328,automovel
329,passaro
330,passaro
331,aviao
332,cachorro
333,automovel
334,gato
335,automovel
336,veado
337,cavalo
338,aviao
339,aviao
340,passaro
341,passaro
342,cavalo
343,veado
344,passaro
345,passaro
346,caminhao
347,passaro
348,caminhao
349,cavalo
350,passaro
351,cachorro
352,sapo
353,navio
354,cavalo
355,cavalo
356,automovel
357,veado
358,gato
359,sapo
360,gato
361,cachorro
362,veado
363,sapo
364,caminhao
365,cavalo
366,passaro
367,gato
368,passaro
369,automovel
370,veado
371,cachorro
372,caminhao
373,cavalo
374,cachorro
375,caminhao
376,navio
377,caminhao
378,sapo
379,passaro
380,caminhao
381,gato
382,automovel
383,cachorro
384,veado
385,passaro
386,aviao
387,passaro
388,passaro
389,aviao
390,navio
391,sapo
392,automovel
393,sapo
394,sapo
395,cavalo
396,automovel
397,cavalo
398,caminhao
399,passaro
400,aviao
401,passaro
402,automovel
403,gato
404,cavalo
405,navio
406,cachorro
407,cavalo
408,navio
409,gato
410,gato
411,cavalo
412,aviao
413,cachorro
414,cavalo
415,veado
416,veado
417,veado
418,cavalo
419,caminhao
420,automovel
421,passaro
422,automovel
423,veado
424,passaro
425,veado
426,sapo
427,passaro
428,aviao
429,aviao
430,aviao
431,cachorro
432,sapo
433,aviao
434,gato
435,caminhao
436,veado
437,passaro
438,navio
439,cachorro
440,passaro
441,cachorro
442,cavalo
443,aviao
444,navio
445,cavalo
446,passaro
447,caminhao
448,automovel
449,aviao
450,navio
451,gato
452,gato
453,navio
454,cavalo
455,cachorro
456,caminhao
457,aviao
458,veado
459,navio
460,aviao
461,veado
462,gato
463,aviao
464,sapo
465,cavalo
466,navio
467,caminhao
468,veado
469,automovel
470,gato
471,sapo
472,cachorro
473,veado
474,sapo
475,passaro
476,caminhao
477,automovel
478,caminhao
479,caminhao
480,aviao
481,sapo
482,navio
483,sapo
484,passaro
485,cavalo
486,aviao
487,caminhao
488,navio
489,caminhao
490,passaro
491,passaro
492,veado
493,cavalo
494,automovel
495,automovel
496,veado
497,caminhao
498,aviao
499,caminhao
500,cachorro
501,automovel
502,cavalo
503,passaro
504,cachorro
505,caminhao
506,navio
507,veado
508,passaro
509,veado
510,sapo
511,gato
512,aviao
513,gato
514,automovel
515,passaro
516,caminhao
517,sapo
518,cavalo
519,gato
520,sapo
521,veado
522,navio
523,navio
524,cachorro
525,cachorro
526,sapo
527,aviao
528,cachorro
529,automovel
530,cachorro
531,sapo
532,cachorro
533,aviao
534,navio
535,sapo
536,aviao
537,cachorro
538,gato
539,automovel
540,automovel
541,navio
542,gato
543,cachorro
544,veado
545,cachorro
546,cachorro
547,navio
548,caminhao
549,automovel
550,gato
551,cavalo
552,automovel
553,gato
554,cavalo
555,automovel
556,cavalo
557,aviao
558,aviao
559,automovel
560,sapo
561,cachorro
562,veado
563,aviao
564,veado
565,gato
566,passaro
567,aviao
568,cavalo
569,gato
570,navio
571,automovel
572,passaro
573,sapo
574,veado
575,cavalo
576,aviao
577,caminhao
578,navio
579,cachorro
580,cachorro
581,aviao
582,sapo
583,automovel
584,navio
585,sapo
586,caminhao
587,cavalo
588,navio
589,automovel
590,navio
591,aviao
592,cavalo
593,sapo
594,veado
595,caminhao
596,automovel
597,cavalo
598,passaro
599,gato
600,aviao
601,automovel
602,navio
603,aviao
